split,work,piece
train,n03op18-3,n03op18-3_01
train,n03op18-3,n03op18-3_02
train,n03op18-3,n03op18-3_03
train,n03op18-3,n03op18-3_04
train,n01op18-1,n01op18-1_01
train,n01op18-1,n01op18-1_02
train,n01op18-1,n01op18-1_03
train,n01op18-1,n01op18-1_04
train,n12op127,n12op127_01
train,n12op127,n12op127_02
train,n12op127,n12op127_03
train,n12op127,n12op127_04
train,n09op59-3,n09op59-3_01
train,n09op59-3,n09op59-3_02
train,n09op59-3,n09op59-3_03
train,n09op59-3,n09op59-3_04
train,n13op130,n13op130_01
train,n13op130,n13op130_02
train,n13op130,n13op130_03
train,n13op130,n13op130_04
train,n13op130,n13op130_05
train,n13op130,n13op130_06
train,n11op95,n11op95_01
train,n11op95,n11op95_02
train,n11op95,n11op95_03
train,n11op95,n11op95_04
train,n08op59-2,n08op59-2_01
train,n08op59-2,n08op59-2_02
train,n08op59-2,n08op59-2_03
train,n08op59-2,n08op59-2_04
train,n05op18-5,n05op18-5_01
train,n05op18-5,n05op18-5_02
train,n05op18-5,n05op18-5_03
train,n05op18-5,n05op18-5_04
train,n15op132,n15op132_01
train,n15op132,n15op132_02
train,n15op132,n15op132_03
train,n15op132,n15op132_04
train,n15op132,n15op132_05
train,n02op18-2,n02op18-2_01
train,n02op18-2,n02op18-2_02
train,n02op18-2,n02op18-2_03
train,n02op18-2,n02op18-2_04
validation,n10op74,n10op74_01
validation,n10op74,n10op74_02
validation,n10op74,n10op74_03
validation,n10op74,n10op74_04
validation,n16op135,n16op135_01
validation,n16op135,n16op135_02
validation,n16op135,n16op135_03
validation,n16op135,n16op135_04
validation,n14op131,n14op131_01
validation,n14op131,n14op131_02
validation,n14op131,n14op131_03
validation,n14op131,n14op131_04
validation,n14op131,n14op131_05
validation,n14op131,n14op131_06
validation,n14op131,n14op131_07
test,n06op18-6,n06op18-6_01
test,n06op18-6,n06op18-6_02
test,n06op18-6,n06op18-6_03
test,n06op18-6,n06op18-6_04
test,n07op59-1,n07op59-1_01
test,n07op59-1,n07op59-1_02
test,n07op59-1,n07op59-1_03
test,n07op59-1,n07op59-1_04
test,n04op18-4,n04op18-4_01
test,n04op18-4,n04op18-4_02
test,n04op18-4,n04op18-4_03
test,n04op18-4,n04op18-4_04
