split,piece,work,status,message
train,n03op18-3_01,n03op18-3,success,
train,n03op18-3_02,n03op18-3,success,
train,n03op18-3_03,n03op18-3,success,
train,n03op18-3_04,n03op18-3,success,
train,n01op18-1_01,n01op18-1,success,
train,n01op18-1_02,n01op18-1,success,
train,n01op18-1_03,n01op18-1,success,
train,n01op18-1_04,n01op18-1,success,
train,n12op127_01,n12op127,success,
train,n12op127_02,n12op127,success,
train,n12op127_03,n12op127,success,
train,n12op127_04,n12op127,success,
train,n09op59-3_01,n09op59-3,success,
train,n09op59-3_02,n09op59-3,success,
train,n09op59-3_03,n09op59-3,success,
train,n09op59-3_04,n09op59-3,success,
train,n13op130_01,n13op130,success,
train,n13op130_02,n13op130,success,
train,n13op130_03,n13op130,success,
train,n13op130_04,n13op130,success,
train,n13op130_05,n13op130,success,
train,n13op130_06,n13op130,success,
train,n11op95_01,n11op95,success,
train,n11op95_02,n11op95,success,
train,n11op95_03,n11op95,success,
train,n11op95_04,n11op95,success,
train,n08op59-2_01,n08op59-2,success,
train,n08op59-2_02,n08op59-2,success,
train,n08op59-2_03,n08op59-2,success,
train,n08op59-2_04,n08op59-2,success,
train,n05op18-5_01,n05op18-5,success,
train,n05op18-5_02,n05op18-5,success,
train,n05op18-5_03,n05op18-5,success,
train,n05op18-5_04,n05op18-5,success,
train,n15op132_01,n15op132,success,
train,n15op132_02,n15op132,success,
train,n15op132_03,n15op132,success,
train,n15op132_04,n15op132,success,
train,n15op132_05,n15op132,success,
train,n02op18-2_01,n02op18-2,success,
train,n02op18-2_02,n02op18-2,success,
train,n02op18-2_03,n02op18-2,success,
train,n02op18-2_04,n02op18-2,success,
validation,n10op74_01,n10op74,success,
validation,n10op74_02,n10op74,success,
validation,n10op74_03,n10op74,success,
validation,n10op74_04,n10op74,success,
validation,n16op135_01,n16op135,success,
validation,n16op135_02,n16op135,success,
validation,n16op135_03,n16op135,success,
validation,n16op135_04,n16op135,success,
validation,n14op131_01,n14op131,success,
validation,n14op131_02,n14op131,success,
validation,n14op131_03,n14op131,success,
validation,n14op131_04,n14op131,success,
validation,n14op131_05,n14op131,success,
validation,n14op131_06,n14op131,success,
validation,n14op131_07,n14op131,success,
